vocabPrefix,domain,uri version
cmo,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/cmo/versions/2006-06-30.n3
cnt,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/cnt/versions/2011-05-10.n3
co,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/co/versions/2010-09-13.n3
cogs,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/cogs/versions/2014-03-10.n3
cold,eBusiness,https://lov.linkeddata.es/dataset/lov/vocabs/cold/versions/2013-11-21.n3
coll,Support,https://lov.linkeddata.es/dataset/lov/vocabs/coll/versions/2012-03-19.n3
comm,Society,https://lov.linkeddata.es/dataset/lov/vocabs/comm/versions/2014-09-12.n3
con,People,https://lov.linkeddata.es/dataset/lov/vocabs/con/versions/2011-02-01.n3
conversion,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/conversion/versions/2013-04-15.n3
coo,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/coo/versions/2010-10-12.n3
coun,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/coun/versions/2003-08-11.n3
cpa,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/cpa/versions/2009-06-02.n3
crm,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/crm/versions/2012-12-17.n3
cro,Multimedia,https://lov.linkeddata.es/dataset/lov/vocabs/cro/versions/2014-06-19.n3
crsw,Academy,https://lov.linkeddata.es/dataset/lov/vocabs/crsw/versions/2006-05-03.n3
cs,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/cs/versions/2009-05-18.n3
csp,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/csp/versions/2011-06-29.n3
csvw,Vocabularies,https://lov.linkeddata.es/dataset/lov/vocabs/csvw/versions/2015-12-17.n3
csvw,W3C Rec,https://lov.linkeddata.es/dataset/lov/vocabs/csvw/versions/2015-12-17.n3
ct,Security,https://lov.linkeddata.es/dataset/lov/vocabs/ct/versions/2007-08-23.n3
ctag,Tag,https://lov.linkeddata.es/dataset/lov/vocabs/ctag/versions/2009-06-08.n3
ctorg,Government,https://lov.linkeddata.es/dataset/lov/vocabs/ctorg/versions/2013-04-24.n3
ctrl,Services,https://lov.linkeddata.es/dataset/lov/vocabs/ctrl/versions/2019-04-29.n3
ctxdesc,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/ctxdesc/versions/2015-09-17.n3
cwmo,Image,https://lov.linkeddata.es/dataset/lov/vocabs/cwmo/versions/2017-02-16.n3
cwmo,Multimedia,https://lov.linkeddata.es/dataset/lov/vocabs/cwmo/versions/2017-02-16.n3
cwork,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/cwork/versions/2016-02-01.n3
cwrc,People,https://lov.linkeddata.es/dataset/lov/vocabs/cwrc/versions/2018-09-30.n3
cwrc,Society,https://lov.linkeddata.es/dataset/lov/vocabs/cwrc/versions/2018-09-30.n3
d2rq,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/d2rq/versions/2012-03-12.n3
dady,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/dady/versions/2010-01-27.n3
daia,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/daia/versions/2011-12-15.n3
daq,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/daq/versions/2015-04-01.n3
dataid,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/dataid/versions/2016-09-14.n3
date,Time,https://lov.linkeddata.es/dataset/lov/vocabs/date/versions/2005-05-11.n3
datex,Government,https://lov.linkeddata.es/dataset/lov/vocabs/datex/versions/2016-06-13.n3
datex,Services,https://lov.linkeddata.es/dataset/lov/vocabs/datex/versions/2016-06-13.n3
datex,Travel,https://lov.linkeddata.es/dataset/lov/vocabs/datex/versions/2016-06-13.n3
dave,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/dave/versions/2017-11-30.n3
dave,Geometry,https://lov.linkeddata.es/dataset/lov/vocabs/dave/versions/2017-11-30.n3
